_Artist_ID,Biography,Start_Date_Disp,End_Date_Disp,Display_Name,First_Name,Last_Name,Nat_Culture_L2,Sort_Name,Artist_Code
434,,1953,,Philip-Lorca Dicorcia,Philip-Lorca,Dicorcia,American,"Dicorcia, Philip-Lorca",500115594
435,,1922,1993,Richard Diebenkorn,Richard,Diebenkorn,American,"Diebenkorn, Richard",500025721
436,,1884,1953,Hunt (Wilhelm) Diederich,Hunt (Wilhelm),Diederich,American (b. Hungary),"Diederich, Hunt (Wilhelm)",500019593
437,,1916,1971,Gerard Dillon,Gerard,Dillon,Irish,"Dillon, Gerard",500019210
438,,1935,,Jim Dine,Jim,Dine,American,"Dine, Jim",500028463
439,,,,Lisa Dinhofer,Lisa,Dinhofer,American,"Dinhofer, Lisa",
440,,1917,,John Dirks,John,Dirks,American,"Dirks, John",
441,,1915,,Louis Frank Dlugosz,Louis Frank,Dlugosz,American,"Dlugosz, Louis Frank",
442,,1927,,Lois Dodd,Lois,Dodd,American,"Dodd, Lois",500016864
443,,1909,1996,Lamar Dodd,Lamar,Dodd,American,"Dodd, Lamar",500029450
444,,1835,1903,Joseph Henry Dolph,Joseph Henry,Dolph,American,"Dolph, Joseph Henry",
445,,1900,1992,Cesar Domela,Cesar,Domela,Dutch,"Domela, Cesar",500007460
446,,1793,1856,Thomas Doughty,Thomas,Doughty,American,"Doughty, Thomas",500031561
447,,1880,1946,Arthur Dove,Arthur,Dove,American,"Dove, Arthur",
448,,1939,,Rackstraw Downes,Rackstraw,Downes,"American, b. England","Downes, Rackstraw",500075282
449,,1904,1987,Otis Dozier,Otis,Dozier,American,"Dozier, Otis",500331590
450,,1898,1992,Elsie Driggs,Elsie,Driggs,American,"Driggs, Elsie",500012280
451,,1931,,David Clyde Driskell,David Clyde,Driskell,American,"Driskell, David Clyde",500077890
452,,1586,1666,Joost Cornelisz Droochsloot,Joost Cornelisz,Droochsloot,Dutch,"Droochsloot, Joost Cornelisz",500026231
453,,1884,1958,Guy P&#232;ne du Bois,Guy P&#232;ne,du Bois,American,"du Bois, Guy P&#232;ne",500120494
454,,1926,2015,Charles DuBack,Charles,DuBack,American,"DuBack, Charles",
455,,A. 1786,1838,M. Dubourg,M.,Dubourg,English,"Dubourg, M.",
456,,1877,1953,Raoul Dufy,Raoul,Dufy,French,"Dufy, Raoul",500024166
457,,1615,1675,Gaspard Dughet,Gaspard,Dughet,"French, b. Italy","Dughet, Gaspard",500115515
458,,1882,1953,Harold C. Dunbar,Harold C.,Dunbar,American,"Dunbar, Harold C.",
459,,1949,,Carroll Dunham,Carroll,Dunham,American,"Dunham, Carroll",500110733
460,"From collection file notes, found on typed index cards in an envelope addressed to Hugh, undated: &quot;Mt. Desert, ME. Well-known potter and sculptor...Exhibited-University of Maine, Art Institute of Chicago, Portland Museum of Art, Boston Arts Festival, University of Minnesota, Colby College.&quot;",,,Robert Dunlap,Robert,Dunlap,,"Dunlap, Robert",
461,,,,Dunlaps,,Dunlaps,,Dunlaps,
462,,1471,1528,Albrecht Durer,Albrecht,Durer,German,"Durer, Albrecht",500115493
463,,1751,1801,Ralph Earl,Ralph,Earl,American,"Earl, Ralph",500116241
464,,1916,2000,Eyvind Earle,Eyvind,Earle,American,"Earle, Eyvind",500004530
465,,,,Jeannie Eberhardt,Jeannie,Eberhardt,American,"Eberhardt, Jeannie",
466,,1872,1959,Charles H. Ebert,Charles H.,Ebert,American,"Ebert, Charles H.",500065622
467,,1889,1946,Kerr Eby,Kerr,Eby,American,"Eby, Kerr",500032926
468,,1864,1941,Louis Michel Eilshemius,Louis Michel,Eilshemius,American,"Eilshemius, Louis Michel",500030951
469,,1756,1829,Eishi,,Eishi,Japanese,Eishi,
470,,1906,1984,Dorothy (Mcdonald) Eisner,Dorothy (Mcdonald),Eisner,American,"Eisner, Dorothy (Mcdonald)",
471,,,,Elisofon,,Elisofon,,Elisofon,
472,,1919,,James Elliott,James,Elliott,American,"Elliott, James",
473,,,,Emily Schorr Elman,Emily Schorr,Elman,American,"Elman, Emily Schorr",
474,"From collection file notes, found on typed index cards in an envelope addressed to Hugh, undated: &quot;Springvale, ME. Stundet of Edwin Scheier, University of New Hampshire...Studied at Alfred Univ...Exhibited in many national shows...Guest exhibitor, American Craftsman touring India...1961-Judge, Potters Guild League of New Hampshire, Art &amp; Crafts Fair, Dartmouth College.&quot;",,,John Emery,John,Emery,,"Emery, John",
475,,1864,1956,James Emery,James,Emery,American,"Emery, James",
476,,1858,1937,Chansonetta Stanley Emmons,Chansonetta Stanley,Emmons,American,"Emmons, Chansonetta Stanley",500093091
477,,1959,,Bevin Engman,Bevin,Engman,American,"Engman, Bevin",
478,,1841,1916,John Enneking,John,Enneking,American,"Enneking, John",
479,,1884,1936,George Pearse Ennis,George Pearse,Ennis,American,"Ennis, George Pearse",500018447
480,,1952,,Mitch Epstein,Mitch,Epstein,American,"Epstein, Mitch",500088979
481,,1901,1975,Elizabeth Erlanger,Elizabeth,Erlanger,American,"Erlanger, Elizabeth",
482,,1942,,Karen Eskesen,Karen,Eskesen,American,"Eskesen, Karen",
483,,1932,,Richard Estes,Richard,Estes,American,"Estes, Richard",500007462
484,,,,Tamar Etingen,Tamar,Etingen,American,"Etingen, Tamar",
